"Dataset","Number of the triple","Time"
"result","495","1.8030707836151123"
"result","496","1.803083896636963"
"result","497","1.8030896186828613"
"result","498","1.8031234741210938"
"result","499","1.8031346797943115"
"result","500","1.8031463623046875"
"result","501","1.8031516075134277"
"result","502","1.8031840324401855"
"result","503","1.8031964302062988"
"result","504","1.803201675415039"
"result","505","1.8032341003417969"
"result","506","1.803246021270752"
"result","507","1.8032512664794922"
"result","508","1.8032829761505127"
"result","509","1.8034052848815918"
"result","510","1.8034417629241943"
"result","511","1.8034496307373047"
"result","512","1.803502082824707"
"result","513","1.8035147190093994"
"result","514","1.8035285472869873"
"result","515","1.8035345077514648"
"result","516","1.803572654724121"
"result","517","1.8035855293273926"
"result","518","1.8035917282104492"
"result","519","1.80362868309021"
"result","520","1.8036420345306396"
"result","521","1.803647756576538"
"result","522","1.803682804107666"
"result","523","1.803694486618042"
"result","524","1.8037068843841553"
"result","525","1.8037126064300537"
"result","526","1.8037583827972412"
"result","527","1.8037786483764648"
"result","528","1.8037872314453125"
"result","529","1.8038580417633057"
"result","530","1.803879976272583"
"result","531","1.8038885593414307"
"result","532","1.803929090499878"
"result","533","1.8039445877075195"
"result","534","1.8039500713348389"
"result","535","1.8039836883544922"
"result","536","1.8039960861206055"
"result","537","1.804002285003662"
"result","538","1.8040363788604736"
"result","539","1.804048776626587"
"result","540","1.8040547370910645"
"result","541","1.8040871620178223"
"result","542","1.8040993213653564"
"result","543","1.8041050434112549"
"result","544","1.80413818359375"
"result","545","1.8041508197784424"
"result","546","1.8041565418243408"
"result","547","1.8041887283325195"
"result","548","1.8042004108428955"
"result","549","1.8042056560516357"
"result","550","1.8042383193969727"
"result","551","1.8042514324188232"
"result","552","1.8042566776275635"
"result","553","1.8042893409729004"
"result","554","1.8043022155761719"
"result","555","1.8043076992034912"
"result","556","1.804340124130249"
"result","557","1.8043525218963623"
"result","558","1.8043577671051025"
"result","559","1.8043909072875977"
"result","560","1.8044028282165527"
"result","561","1.804408311843872"
"result","562","1.8044402599334717"
"result","563","1.804452657699585"
"result","564","1.804457664489746"
"result","565","1.804490089416504"
"result","566","1.8045024871826172"
"result","567","1.8045082092285156"
"result","568","1.8045613765716553"
"result","569","1.8045752048492432"
"result","570","1.8045814037322998"
"result","571","1.804626226425171"
"result","572","1.8046879768371582"
"result","573","1.8046972751617432"
"result","574","1.8047370910644531"
"result","575","1.8047502040863037"
"result","576","1.8047564029693604"
"result","577","1.8047904968261719"
"result","578","1.8048028945922852"
"result","579","1.8048083782196045"
"result","580","1.804842472076416"
"result","581","1.8048548698425293"
"result","582","1.8048603534698486"
"result","583","1.8048930168151855"
"result","584","1.8049046993255615"
"result","585","1.8049099445343018"
"result","586","1.8049559593200684"
"result","587","1.8049755096435547"
"result","588","1.804983139038086"
"result","589","1.805037021636963"
"result","590","1.8050599098205566"
"result","591","1.8050692081451416"
"result","592","1.8051249980926514"
"result","593","1.8051478862762451"
"result","594","1.8051567077636719"
"result","595","1.80521559715271"
"result","596","1.8052377700805664"
"result","597","1.8052451610565186"
"result","598","1.8052940368652344"
"result","599","1.8053131103515625"
"result","600","1.8053362369537354"
"result","601","1.8053457736968994"
"result","602","1.805394172668457"
"result","603","1.8054084777832031"
"result","604","1.8054351806640625"
"result","605","1.805497646331787"
"result","606","1.8055124282836914"
"result","607","1.8055181503295898"
"result","608","1.805565357208252"
"result","609","1.8055872917175293"
"result","610","1.8055965900421143"
"result","611","1.805657148361206"
"result","612","1.805680274963379"
"result","613","1.8056905269622803"
"result","614","1.8057527542114258"
"result","615","1.8057770729064941"
"result","616","1.8057873249053955"
"result","617","1.8058485984802246"
"result","618","1.8058722019195557"
"result","619","1.805882453918457"
"result","620","1.8059494495391846"
"result","621","1.805976152420044"
"result","622","1.8059864044189453"
"result","623","1.8060519695281982"
"result","624","1.8060736656188965"
"result","625","1.8060832023620605"
"result","626","1.8061420917510986"
"result","627","1.8061585426330566"
"result","628","1.806164264678955"
"result","629","1.8062045574188232"
"result","630","1.8062288761138916"
"result","631","1.8062398433685303"
"result","632","1.8062970638275146"
"result","633","1.8063173294067383"
"result","634","1.8063228130340576"
"result","635","1.8064377307891846"
"result","636","1.8064727783203125"
"result","637","1.8064823150634766"
"result","638","1.80655837059021"
"result","639","1.8065836429595947"
"result","640","1.806593418121338"
"result","641","1.806638240814209"
"result","642","1.8066580295562744"
"result","643","1.8066647052764893"
"result","644","1.8067052364349365"
"result","645","1.8067207336425781"
"result","646","1.8067269325256348"
"result","647","1.8067686557769775"
"result","648","1.8067855834960938"
"result","649","1.8067924976348877"
"result","650","1.806838035583496"
"result","651","1.8068580627441406"
"result","652","1.8068656921386719"
"result","653","1.8069071769714355"
"result","654","1.8069236278533936"
"result","655","1.8069374561309814"
"result","656","1.8069953918457031"
"result","657","1.8070180416107178"
"result","658","1.8070271015167236"
"result","659","1.8070952892303467"
"result","660","1.8071203231811523"
"result","661","1.807128667831421"
"result","662","1.807183027267456"
"result","663","1.807204246520996"
"result","664","1.8072128295898438"
"result","665","1.8072614669799805"
"result","666","1.8072786331176758"
"result","667","1.807286262512207"
"result","668","1.8073418140411377"
"result","669","1.8073673248291016"
"result","670","1.8073749542236328"
"result","671","1.8075158596038818"
"result","672","1.80763578414917"
