"Dataset","Number of the triple","Time"
"result","345","1.5699248313903809"
"result","346","1.569929599761963"
"result","347","1.5699410438537598"
"result","348","1.5699706077575684"
"result","349","1.5699756145477295"
"result","350","1.5699868202209473"
"result","351","1.5700039863586426"
"result","352","1.5700089931488037"
"result","353","1.5700197219848633"
"result","354","1.5700364112854004"
"result","355","1.5700409412384033"
"result","356","1.570051670074463"
"result","357","1.570068120956421"
"result","358","1.5700726509094238"
"result","359","1.5700831413269043"
"result","360","1.5700995922088623"
"result","361","1.5701041221618652"
"result","362","1.5701148509979248"
"result","363","1.5701313018798828"
"result","364","1.5701358318328857"
"result","365","1.5701463222503662"
"result","366","1.5701625347137451"
"result","367","1.570167064666748"
"result","368","1.5701770782470703"
"result","369","1.570192813873291"
"result","370","1.5701971054077148"
"result","371","1.5702075958251953"
"result","372","1.5702238082885742"
"result","373","1.570228099822998"
"result","374","1.5702383518218994"
"result","375","1.5702815055847168"
"result","376","1.5702919960021973"
"result","377","1.5703134536743164"
"result","378","1.570350170135498"
"result","379","1.570359230041504"
"result","380","1.5703811645507812"
"result","381","1.5704152584075928"
"result","382","1.5704238414764404"
"result","383","1.570439338684082"
"result","384","1.570460557937622"
"result","385","1.5704679489135742"
"result","386","1.570486307144165"
"result","387","1.5705184936523438"
"result","388","1.5705273151397705"
"result","389","1.5705463886260986"
"result","390","1.5705804824829102"
"result","391","1.5705890655517578"
"result","392","1.5706098079681396"
"result","393","1.570643663406372"
"result","394","1.5706522464752197"
"result","395","1.570671558380127"
"result","396","1.570718765258789"
"result","397","1.5707283020019531"
"result","398","1.570751667022705"
"result","399","1.5707812309265137"
"result","400","1.5707871913909912"
"result","401","1.5708045959472656"
"result","402","1.5708246231079102"
"result","403","1.5708296298980713"
"result","404","1.5708413124084473"
"result","405","1.570859432220459"
"result","406","1.5708644390106201"
"result","407","1.570875644683838"
"result","408","1.5708930492401123"
"result","409","1.5708978176116943"
"result","410","1.5709078311920166"
"result","411","1.5709254741668701"
"result","412","1.5709304809570312"
"result","413","1.5709421634674072"
"result","414","1.5709590911865234"
"result","415","1.5709633827209473"
"result","416","1.5709736347198486"
"result","417","1.5709903240203857"
"result","418","1.5709948539733887"
"result","419","1.57100510597229"
"result","420","1.5710220336914062"
"result","421","1.5710270404815674"
"result","422","1.571038007736206"
"result","423","1.5710549354553223"
"result","424","1.5710594654083252"
"result","425","1.5710704326629639"
"result","426","1.571087121963501"
"result","427","1.571091890335083"
"result","428","1.5711023807525635"
"result","429","1.5711188316345215"
"result","430","1.5711233615875244"
"result","431","1.5711333751678467"
"result","432","1.5711493492126465"
"result","433","1.5711541175842285"
"result","434","1.571164608001709"
"result","435","1.571181058883667"
"result","436","1.571185827255249"
"result","437","1.5712220668792725"
"result","438","1.5712590217590332"
"result","439","1.571268081665039"
"result","440","1.5712907314300537"
"result","441","1.5713260173797607"
"result","442","1.5713350772857666"
"result","443","1.5713582038879395"
"result","444","1.5713870525360107"
"result","445","1.571392297744751"
"result","446","1.5714061260223389"
"result","447","1.5714364051818848"
"result","448","1.5714452266693115"
"result","449","1.5715150833129883"
"result","450","1.5715525150299072"
"result","451","1.5715618133544922"
"result","452","1.5715830326080322"
"result","453","1.5716161727905273"
"result","454","1.5716259479522705"
"result","455","1.5716462135314941"
"result","456","1.5716814994812012"
"result","457","1.571690559387207"
"result","458","1.5717136859893799"
"result","459","1.5717499256134033"
"result","460","1.5717592239379883"
"result","461","1.5717806816101074"
"result","462","1.5718159675598145"
"result","463","1.5718252658843994"
